sentence,tag1,tag2,tag3,section,notes
Introduction,Title,,,Intro,
It is no secret how integrated social media is in our everyday lives,Context,,,Intro,
"As the era of technology continues to grow, so do the different ways people can start to profit off of it",Context,,,Intro,
"One social media platform, YouTube, is extremely well known for being expansive across the globe and paying their creators",Context,,,Intro,
Creators are those who produce content and get paid for it,Context,,,Intro,
"Channels can even get paid five figures per year, and this number grows more than 50% year by year",Context,,,Intro,
This video-sharing platform is the second most popular social network and has over 2 billion users world-wide,Context,RQSig,,Intro,
"As the number of people joining YouTube increases, our goal is to analyze which channel category is the most popular",RQDef,RQSig,Context,Intro,?
Those hoping to find a career in it would find it most beneficial to discover which category is the most popular,RQSig,,,Intro,
Studying this may be useful for those who are thinking of joining YouTube and would like to gather information about the most popular creators,RQSig,,,Intro,
Data,Title,,,Data,
"We analyzed statistics from 1,259 YouTube channels up until the end of 2018",DataDesc,,,Data,
All information was collected by Social Blade,DataDesc,,,Data,
"Our main focus is a channel’s category, a qualitative variable that is user-defined and describes the channel topic",DataDesc,,,Data,
"The most common category was Entertainment (with 517 channels, categorizing 41% of the total channels), while the least common category was Sports (with 23 channels, compromising 1.83% of all the channels)",DataStat,,,Data,
"These numbers can be found in table 1, below",Struct,,,Data,
Our questions will thus incorporate the number of subscribers and views,DataDesc,,,Data,
"The quantitative variable subscribers, pertains to the number of subscribers a channel has",DataDesc,,,Data,
"The highest number of subscribers for a channel was 27,765,423 ( TheEllenShow ) whereas the channel with the lowest number had 107,329 (FORTNITE IS MY CL)",DataStat,,,Data,
"There was a mean of 3,201,757.576 subscribers and a standard deviation of 3,556,605.298",DataStat,,,Data,
Views is a quantitative variable that measures the total views across all the videos a channel has,DataDesc,,,Data,
"The biggest view count was 245,118,098,041 (Ryan ToysReview), while the least number of views was 593,861 (fouseyTUBE)",DataStat,,,Data,
"There was a mean of 1,346,843,185.938 views and a standard deviation of 2,036,809,998.695 views",DataStat,,,Data,
Distribution of YouTube Channel Categories,Title,,,RS,
"For the first research question, we decide to analyze the distribution of categories among all the channels and see how we can characterize them",RQDef,,,RS,
Our initial hypothesis is that the category Music will be the most frequent one and then News & Politics will be the least frequent category,HypDef,,,RS,
We chose Music as the most frequent because we assume that many artists/record companies create channels in order to gain exposure and release music videos for fans,HypJust,,,RS,
"We chose News & Politics as the least frequent due to the assumption that people tend to watch news on TV channels, (especially local news) rather on YouTube",HypJust,,,RS,
