sentence,tag1,tag2,tag3,section,notes
Introduction,Title,,,Intro,
Managers and coaches for international teams are constantly looking to evaluate playing time amongst their players and how their teams are performing in order to constantly improve,Context,,,Intro,
"In order to gain a better idea of how playing time is distributed during matches so that players can get time on the field, the 2010 World Cup will be evaluated",RQSig,,,Intro,
"By understanding the playing time of players, we can get a better idea of how playing time is distributed amongst the team as well as how it can affect the match",RQDef,,,Intro,?
This research report hopes to address how playing time is distributed during tournaments and how it may affect the game,RQDef,,,Intro,
Data,Title,,,Data,
"For this analysis, a sample of all 595 players from the 2010 FIFA World Cup was collected by Opta, a company that collects and offers data on a variety of sports all around the globe",DataDesc,,,Data,
The collected data on player performances was published by the Guardian before the final (https://www.theguardian.com/news/datablog/2010/jul/09/world-cup-2010-statistics),DataDesc,,,Data,
The main variable of the study is playtime,DataDesc,,,Data,
It is a quantitative variable measuring the number of minutes each player was on the field,DataDesc,,,Data,
"The mean playtime was 208.864 minutes, with a standard deviation of about 145.434",DatStat,,,Data,
Other variables of this study include total passes and position,DataDesc,,,Data,
Total passes is another quantitative variable measuring the total number of passes made by a player during the World Cup,DataDesc,,,Data,
"The mean number of total passes was 84.521 passes, with a standard deviation of about 77.31",DatStat,,,Data,
"The variable position is a categorical variable that represents the position (role) of the player: there are 4 broad categories that players were put into (Goalkeeper, Defender, Midfielder, Forward)",DataDesc,,,Data,
"In this World Cup, the most popular position was Midfielder, being 228 (or 38%) of the 595 players",DatStat,,,Data,
"Goalkeepers were the least popular position, only being 36 (or 6%) of the 595 players",DatStat,,,Data,
Research Scenarios,Title,,,RS,
Question 1,Title,,,RS,
Is the true mean playing time greater than 200 minutes,RQDef,,,RS,
"To better understand the playing time of players, we will perform exploratory analysis by examining the distribution of playing time in the 2010 World Cup",MethDef,,,RS,
"When looking at Figure 1 from the Data section, it can be seen that there is a lot of variance in playtime",ResDesc,,,RS,
"A majority of players seem to have playing times of 249 minutes or less, but there are spikes of players with 250-299 minutes and 350-399 minutes of playing time",ResDesc,,,RS,
This may be due to players that continued further on into the tournament and got to play more games,IntImp,,,RS,
It may also be a cause of goalkeepers (they tend to play the whole match all the time),IntImp,,,RS,
"To continue, the distribution of PlayingTime appears to be bimodal (modes at 0-49 and 250-299 minutes), right-skewed, and contains a few possible outliers at 350-399 and 500-549 minutes",ResDesc,,,RS,
"From the distribution, it can be seen that there are many players above the average playing time of 208.864 minutes",ResDesc,,,RS,
"With this information, these hypotheses will be examined",Struct,,,RS,
"In order to test these hypotheses, we will run a one-sample mean t-test",MethDef,,,RS,
We must run this test because the sigma is unknown for the population,MethJust,,,RS,
"Moreover, the sample size (n = 595) is relatively large and greater than 30, indicating that the distribution is robust against minor violations",MethJust,DataDesc,,RS,DataDesc?
