sentence,tag1,tag2,tag3,section,notes
Introduction,Title,,,Intro,
Dating apps have become a primary and easy mode of finding desirable qualities within the people around us and seeking out partners,Context,,,Intro,
"Apps have made it very easy to find out important traits in potential partners, with habits like drug use and physical well-being appear as soon as someone’s profile is viewed",Context,,,Intro,
The increasing use of dating apps begs the question of how habits like drug use and well-being correlate with one another,RQDef,,,Intro,
"Many people refuse to date people involved with drug use out of the assumption that they are not fit physically or emotionally (as stated by https://www.distractify.com/p/fitness-dating-app), so in this paper we will pursue the idea of a correlation between drug use and overall well-being",RQDef,RQSig?,,Intro,RQSig?
Data,Title,,,Data,
The data referenced in this project was collected on 06/30/2012,DataDesc,,,Data,
The data was scraped directly from www.okcupid.com with a sample size of 1500 users in San Francisco,DataDesc,,,Data,
"Our primary variable that we’ll be observing is drugs, which is a categorical variable describing how often an OkCupid user uses drugs (never, null, often, sometimes)",DataDesc,,,Data,
The most common answer is “never” with 961 users and the least common answer is “often” with 20 users,DataStat,,,Data,
Our research question (see in the next section) concerns quite a few more variables related to the variable drugs,Struct,,,Data,
"These variables include drinks, body type, and income",DataDesc,,,Data,
"The variable drinks is another categorical variable describing how often a user drinks (desperately, not at all, often, rarely, socially, very often)",DataDesc,,,Data,
The most common answer is “socially” with 1036 users and the least common answer is “desperately” with 7 users,DataStat,,,Data,
"The variable body type is also a categorical variable describing a person’s physical state (a little extra, athletic, average, curvy, fit, full figured, jacked)",DataDesc,,,Data,
“Average” makes up 27% of all users with 0.4% of all users preferring not to answer,DataStat,,,Data,
Our final variable income is quantitative and describes the yearly income of a user,DataDesc,,,Data,
"The median income of OkCupid users is $50,000 with a standard deviation of $195,775",DataStat,,,Data,
The figure below visualizes income levels among the entire sample population,Struct,,,Data,
The following figure tabulates the varying levels of drug use,Struct,,,Data,
"Most users don’t use drugs with a proportion of 0.641, some users have no response with a proportion of 0.139, extreme users have a proportion of 0.013, and moderate users have a proportion of 0.207",DataStat,,,Data,
We will explore how these proportions relate to the other variables discussed in the following sections,Struct,,,Data,
Does Drug Avoidance Entail A More Fit Body,Title,,,RS,
This research questions explores if there is a significant relationship between drug use and physical well-being,RQDef,,,RS,
"Preamble: We define physical wellness being a body type of “athletic”, “average”, “fit”, “jacked”",MethDef,,,RS,?
We will define deviating from physical wellness as all other body types,MethDef,,,RS,
