sentence,tag1,tag2,tag3,section,notes
A Study of the Relationship Between the Position of a Soccer Player and their Statistics,Title,,,,
Introduction,Title,,,Intro,
"Soccer, otherwise known as football, is a well-known sport that is played all around the world with playability ranging from kicking a ball around to being the main focus of international competitions",Context,,,Intro,
"Soccer has been focused around many people’s lives whether it be playing the sport or being a super-fan of it, which makes it not only important as a sport but also important as a way of life",Context,,,Intro,
"In professional leagues, variable statistics are recorded on players to determine how skilled they are and how well they do within a certain league",Context,,,Intro,
Professional players aim to raise their football statistics in order to attract the attention of grander teams and therefore get signed and earn more money,Context,RQSig,,Intro,?
This study looks at which factors may play a role into raising a soccer player’s statistics,RQDef,,,Intro,
"Specifically, the goal of this report is to use Exploratory Data Analysis (EDA) to investigate if the position of a soccer player affects their statistics in terms of playtime, shots attempted, and total passes made",RQDef,,,Intro,
The information in this study may be of use to aspiring soccer players as well as professional players that may not be earning as much as they would like to,RQSig,,,Intro,
Data,Title,,,Data,
Information has been collected on a sample of 595 soccer players,DataDesc,,,Data,
The sample used for this study contains all players that appeared within the 2010 FIFA World Cup,DataDesc,,,Data,
Our main focus will be on the variable Position,DataDesc,,,Data,
Position is a categorical variable that shows the main position for a certain player,DataDesc,,,Data,
The most common position within the sample is Midfielder while the least common position is Goalkeeper,DataStat,,,Data,
"Our research questions will also focus on the three variables of playtime, shots attempted, and total passes",DataDesc,,,Data,
The variable playtime is a quantitative variable that shows the time on the field a certain player got (in minutes),DataDesc,,,Data,
The variable shots attempted is also a quantitative variable that shows the number of attempts a player shot the ball to the opposing goal,DataDesc,,,Data,
The variable total passes is once again a quantitative variable that shows the total number of passes a player made,DataDesc,,,Data,
Research Scenarios,Title,,,RS,
The Relationship Between a Soccer Player’s Position and their Playtime,Title,,,RS,
Our first question will be to analyze if there is any association or correlation between a soccer player’s position and the amount of playtime they receive within a professional season,RQDef,,,RS,
"To measure this, we will need to conduct an inferential test and we will choose an alpha value of 1%",MethDef,,,RS,?
We hypothesize that there is a relationship between a player’s position and their playtime,HypDef,,,RS,
"To formulate this hypothesis, we will need to focus on the mean playtime for each position",MethDef,,,RS,
"The positions of interest are Goalkeeper, Defender, Midfielder, and Forward",MethDef,,,RS,?
"Respectively, Let mptG, mptD, mptM, and mptF represent the true mean playing time for each position",MethDef,,,RS,
Our null and alternative hypotheses are,HypDef,,,RS,
Alternate Hypothesis (HA): At Least one Mean not Equal,HypDef,,,RS,
"Before conducting a formal test for the hypotheses, we visually compare the distribution of playtime for the four player positions",Struct,,,RS,
Figure 1 below displays a boxplot of playtime for each position,Struct,,,RS,
We can see that both Defender and Goalkeeper positions tend to get more playing time than Midfielder and Forward positions,ResDesc,,,RS,
Both Defender and Goalkeeper positions have a median of 270 minutes while the Midfielder position has a median of 167 minutes and the Forward position has the lowest median of 132 minutes,ResDesc,,,RS,
"We also see that the minimum for midfielders and defenders is 1 minute, the minimum for forwards is 2, and the minimum for goalkeepers is 45",ResDesc,,,RS,
"The maximum for midfielders and goalkeepers is 570 minutes, the maximum for forwards is 564, and the maximum for defenders is 540",ResDesc,,,RS,
Another thing we observe is that the interquartile ranges for the Midfielder and Forward positions are both between 50 and 300 while the interquartile range for the Defender position is between 100 and 400,ResDesc,,,RS,
