sentence,tag1,tag2,tag3,section,notes
One of the most watched and anticipated sporting events around the world is the World Cup,Context,,,Intro,
"Every four years, soccer teams from countries all over the world come together to play a soccer tournament to determine what country has the best soccer team in the world",Context,,,Intro,
"During the World Cup, all the attention is on the star world class players like Lionel Messi and Cristiano Ronaldo, who play all the minutes in every game drawing the attention from every viewer all over the world",Context,,,Intro,
"With all the attention on star players, many of the players on the teams go unnoticed, even though they’re playing a lot of minutes in many games during the World Cup",Context,,,Intro,
"Our goal in this report is to look into how often all players in the World Cup actually play/participate and how much do these players get their teammates involved in games during the World Cup, not just looking at the star players, and also investigate whether there are other factors that affect the playing time and total passes of players in the World Cup",RQDef,,,Intro,
"For our report, the data set we will be utilizing for analysis is a variety of data on the player performance in the 2010 World Cup that was held in South Africa",DataDesc,,,Data,
"The data was gathered by Opta, a company which gathers data on sports all over the world, and this data consists of multiple variables pertaining to the 595 players that participated in the 2010 World Cup",DataDesc,,,Data,
"Our primary focus in this report will be on the variable of Playtime, a quantitative variable measuring the time on the field each player spent during the world Cup (in minutes)",DataDesc,,,Data,
The mean playtime was 208.864 minutes with a standard deviation of 145.434 minutes,DataStat,,,Data,
"Our research questions for this report(included in the next section), will also contain the variables of position and total passes",DataDesc,,,Data,
Position is a categorical variable indicating what position a certain player plays,DataDesc,,,Data,
"The position with the most amount players was Midfielder with 228 players, and the position with the least amount of players was Goalkeeper with 36 players",DataStat,,,Data,
Total passes is a quantitative variable indicating how many passes each player made during the World Cup,DataDesc,,,Data,
The average total passes was 84.521 passes with a standard deviation of 77.310 passes,DataStat,,,Data,
Research Question 1: Is the mean playing time less than 200 minutes,RQDef,,,RS,
"To better understand the variable of playtime and form our hypothesis test, we will analyze the distribution of playtime in the 2010 World Cup",RQDef,,,RS,
"In the histogram below, we see that most players don’t have a lot of playtime in the World Cup, with most the time being below 200 minutes",ResDesc,Struct,,RS,
"This could be due to much of the roster on these teams are on the bench and don’t start the games, but then get subbed into the game near the end of the game, while a smaller number of star players actually play for the entire game",IntImp,,,RS,
"The distribution of Playtime is relatively unimodal, with the primary mode being around 0 to 100 minutes",ResDesc,,,RS,
"The distribution is also slightly skewed to the right, with a couple irregular jumps in the number of players with high playing times at 250 to 299 minutes and 350 to 399 minutes",ResDesc,,,RS,
There are no potential outliers in this distribution,ResDesc,,,RS,
"Now that we have analyzed the variable, we can now state our hypothesis",Struct,,,RS,
"Since we have anecdotal/visual evidence that playtime is not a lot for most players, being less than 200 minutes, we well test the follow hypotheses",HypJust,,,RS,
MU is the average playtime of players in the 2010 world Cup in minutes,HypDef,,,RS,
"To test these hypothesis, we run a one sample z-test",MethDef,,,RS,
