sentence,tag1,tag2,tag3,section,notes
Introduction,Title,,,Intro,
"With the newest advancements in technology today, socializing online has become easier than ever",Context,,,Intro,
Dating apps such as OkCupid has helped people find friends and soulmates all over the world,Context,,,Intro,
"While anyone above the age of 18 can create an account, each profile is unique and everyone will encounter different experiences",Context,,,Intro,
"As a result, researchers are interested in investigating some of the characteristics displayed in a user’s profile to get a better understanding of OkCupid’s user population",RQDef,,,Intro,
This examination may provide useful demographics to the company that could help them update their online dating services to improve user experiences,RQSig,,,Intro,
Data,Title,,,Data,
"The original data was a volunteered sample that consisted of 59946 users within a 25 mile radius of San Francisco, who had active accounts on 06/06/2012",DataDesc,,,Data,
"However the data used in this investigation was created by a python script that gathered data from public profiles on the company’s website, www.ok.cupid.com that consisted of 1500 active users on 06/30/2012",DataDesc,,,Data,
Permission was obtained from OkCupid president and co-founder Christian Rudder to use this data under the condition that the dataset remains public,DataDesc,,,Data,
"In our investigation, we will focus on the status variable, which is a categorical variable categorizing the relationship status of the user into: single, seeing someone, married, or available (in an open relationship)",DataDesc,,,Data,
"Data shows that 90.9% (1364/1500) users were single, 4.47% (67/1500) were seeing someone, 4.13% (62/1500) were available, 0.4% (6/1500) were married, and 0.0667% (1/1500) were unknown (as shown in Figure 1)",DataStat,,,Data,
"Other variables we will investigate in relation to status are age, height, and sex",DataDesc,,,Data,
Age is a quantitative variable that measures the user’s age in years,DataDesc,,,Data,
"As shown in Figure 2, the histogram that displays the distributions of the users’ age is unimodal and skewed right",DataStat,,,Data,
Data generated from the histogram in Table 1 shows that the average age is close to 33 years old with a standard deviation of almost 10 years,DataStat,,,Data,
Height is a quantitative variable that characterizes users’ heights in inches,DataDesc,,,Data,
Figure 3 shows the distribution of user heights in a histogram,Struct,,,Data,
The distribution is unimodal and symmetric,DataStat,,,Data,
The average and median height in the sample is approximately 69 inches with a standard deviation of 3.8 inches (shown in Table 2),DataStat,,,Data,
Sex is a categorical variable that characterizes users’ sex into male or female,DataDesc,,,Data,
"As shown in Figure 4, 74.3% (1115/1500) of users are male and 25.7% (385/1500) are female",DataStat,,,Data,
The first research question will examine if a relationship exists between the relationship status and users’ age,RQDef,,,RS,
We hypothesize that status could indicate a user’s age or equivalently that there is a relationship between age and status,HypDef,,,RS,
"Let muS, muSS, muA, muM denote the average age of the users who are single, seeing someone, available, or are married",HypDef,,,RS,
Our formal hypotheses are,HypDef,,,RS,
