sentence,tag1,tag2,tag3,section,notes
Introduction,Titile,,,Intro,
"Different substances are all around us, and can have a very large impact on individuals’ lives",Context,,,Intro,
"It seems fairly common in our world to drink alcohol, smoke, or use drugs",Context,,,Intro,
"Especially being an undergrad in college, it’s interesting to see just how prevalent these substances are within the “college bubble",Context,,,Intro,
"However, substances can undoubtedly have a huge impact on people’s lives",Context,RQSig,,Intro,
"when I consider such an impact, it is usually negative as well",Context,RQSig,,Intro,
"For this research, we are interested in the possible associations which may exist between one’s sex and substance-usage habits",RQDef,,,Intro,
"Through our three scenarios and hypotheses tests, we explore the relationship between sex and drinking, smoking, and drug habits",RQDef,,,Intro,
Data,Titile,,,Data,
The data for this project was gathered via a volunteered sample from San Francisco OKCupid Users,DataDesc,,,Data,
"The sample size consists of 1,500 individuals who were active on 06/30/2012 and had active accounts on 06/26/2012",DataDesc,,,Data,
The data consists of 17 different variables,DataDesc,,,Data,
our research will focus on 4 of these variables,DataDesc,,,Data,Struct?
"The relevant variables include sex (m/f), drinks (very often, often, socially, rarely, desperately, not at all), smokes (yes, sometimes, when drinking, trying to quit, no), and drugs (never, sometimes, often)",DataDesc,,,Data,
"In order to visualize the relevant distributions of these 4 variables, the following figures (figure 1, figure 2, figure 3, and figure 4) are bar graphs of our variables",Struct,DataStat,,Data,DataStat?
"From these separate data distributions, the following research scenarios/hypotheses will aim to explore the possible relationships which may exist between sex and drinking, smoking, and drugs habits",RQDef,Struct,,Data,?
"However, it is important to note a few issues within the data",Struct,,,Data,LimData?
"The first aspect to note is that sex is defined as either male or female, thus working from a biological perspective distinguished from sex",LimData,DataDesc,,Data,
"Secondly, the data was obtained via a volunteered sample, therefore, our findings could be biased",LimData,DataDesc,,Data,
"In this report, we are interested in exploring whether an association exists between sex and drinking habits, using drugs, or smoking habits",RQDef,,,RS,
The first possible relationship we will discuss is between sex and drinking habits,RQDef,,,RS,
We hypothesize that there will be a relationship between sex and drinking habits,HypDef,,,RS,
Our null and alternative hypotheses are as follows,Struct,,,RS,
H0: There is no association between sex and drinking habits (sex and drinking habits are independent),HypDef,,,RS,
Ha: There is an association between sex and drinking habits (sex and drinking habits are dependent),HypDef,,,RS,
"Before formally testing the hypothesis, we will compare the differences in proportions between these three categorizations within the drinking variable among males and females",Struct,,,RS,?
The following figure displays a contingency table for proportion for each group,Struct,,,RS,
We can observe from this table that males have higher proportions within every single drinking category,ResDesc,,,RS,
These differences in proportion informally suggest a relationship between sex and drinking habits,IntVar,,,RS,
"Additionally, we assess our hypotheses with a formal inference for contingency tables",MethDef,,,RS,
"Because we are exploring the relationship between a categorical explanatory and a categorical response variable, the Chi-Square Test is the appropriate test to use",MethJust,MethDef,,RS,
"In order to use the Chi-Square Test, a number of formal assumptions must be met",Struct,,,RS,?
"First, we must be using contingency table data",MethJust,,,RS,
"Because we are looking at a categorical explanatory (male/female) and categorical response variable (not at all, often, socially), we use a contingency table",MethJust,,,RS,
"Second, the categories must be independent",MethJust,,,RS,
"Because each individual is only in one cell of the table, we know that our categories are independent",MethJust,,,RS,
"Additionally, 3 more conditions must be met to justify the Chi-Square Test",Struct,,,RS,?
"First, the data must be gathered randomly",MethJust,,,RS,
"Although this data set came from a volunteered sample, we will assume that it is reasonably random for the sake of our research",MethJust,,,RS,
"Secondly, we must have statistically independent measures within each cell",MethJust,,,RS,
"Because our population is large, we can safely assume our measures are independent",MethJust,,,RS,
"Lastly, we must have sufficient size for each expected cell-count (at least 5)",MethJust,,,RS,
"Calculating the expected cell counts, we find that not every single cell has at least 5",MethJust,,,RS,
"However, the study could easily combine categories in order to account for this",MethJust,,,RS,
"Since our assumptions are met (for the most part), we carry out our test at alpha=0.05",MethJust,,,RS,
"Our Chi-Square Test produces a test statistic of Chi-Sq=2.9442, and a p-value of 0.8158",ResDesc,,,RS,
"Since the p-value is greater than 0.05, we fail to reject the null hypothesis that there is no association between sex and drinking habits, and conclude that there is not sufficient evidence for a relationship between sex and drinking habits",IntVar,,,RS,
"Although we have not confirmed there to be a relationship between sex and drinking habits, we are interested in exploring a different possible relationship: sex and smoking habits",RQDef,,,RS,
We hypothesize that there will be an association between sex and smoking habits,HypDef,,,RS,
Our null and alternative hypotheses are as follows,Struct,,,RS,
H0: There is no association between sex and smoking habits (sex and smoking habits are independent),HypDef,,,RS,
Ha: There is an association between sex and smoking habits (sex and smoking habits are dependent),HypDef,,,RS,
"Before formally testing the hypothesis, we will compare the differences in proportions between the categorizations within the smoking variable among males and females",Struct,,,RS,
The following figure displays a contingency table for proportion for each group,Struct,,,RS,
"As did the first contingency table, we can observe that males have higher proportions within every single smoking category",ResDesc,,,RS,
These differences in proportion informally suggest a relationship between sex and smoking habits,IntVar,,,RS,
"As in our first research scenario, we assess our hypotheses with a formal inference for contingency tables",Struct,,,RS,
"Again, we are looking at the relationship between a categorical explanatory variable and a categorical response variable",MethJust,,,RS,
"Therefore, we will use the Chi-Square Test again",MethDef,,,RS,
All of the formal conditions that must be met in order to use the Chi-Square Test have been discussed and justified in the first research question,Struct,,,RS,
"Since our assumptions are met in the same manner as above, we carry out our test at alpha=0.05",MethJust,,,RS,
"Our Chi-Square Test produces a test statistic of Chi-Sq=7.3913, and a p-value of 0.1931",ResDesc,,,RS,
"Since the p-value is greater than 0.05, we fail to reject the null hypothesis that there is no association between sex and smoking habits, and conclude that there is not sufficient evidence for a relationship between sex and smoking habits",IntVar,,,RS,
"Again, we have not confirmed there to be a relationship between sex and another response variable (smoking habits)",IntVar,,,RS,?
