sentence,tag1,tag2,tag3,section,notes
Introduction,Title,,,Intro,
"Throughout history, the quest for immortality has remained a tried and true staple of humanity",Context,RQSig,,Intro,
"Many great journeys were taken to try to achieve this great feat, such as trying to discover the mystical Fountain of Youth or the Holy Grail",Context,,,Intro,
"However, given the sudden boom in biological research, it now suddenly seems possible that the key to immortality is not a magical ruin or long-lost relic, but it is instead within your own body at this very minute",Context,,,Intro,
"Recent research suggests that slowing metabolic rate may improve longevity or lifespan, indicating a possible relationship between metabolic rate and immortality",Context,,,Intro,
"In this study, we aim to discover if this theory is supported with evidence, and, if so, what is the most likely relationship between metabolic rate and improved lifespan",RQDef,,,Intro,
"(1) We would also like to use our model to try to accurately predict lifespan based on metabolic rate for all creatures, allowing us to know exactly how much to reduce metabolic rate to generate a specific lifespan",RQDef,RQSig,,Intro,
"In this study, we will be analyzing the relationship or metabolic rate on lifespan using data collected the AnAge Database of Animal Ageing and Longevity",DataDesc,,,Intro,
"This database contains compiled information from many species, specifically regarding the species lifespan, age of sexual maturity, adult body mass, typical body temperature, and metabolic rate",DataDesc,,,Intro,
We will be using a specific set of data containing information from 347 different species in the Chordata phylum (meaning we collected data from only vertebrates),DataDesc,,,Intro,
"The data includes a unique identifying number for each entry (a HAGRID), information on the species' kingdom, common name, maximum lifespan (years), body mass (in grams), temperature (in Kelvin), and finally metabolic rate (in Watts), which is the typical resting metabolic rate (rate of energy used) of the species",DataDesc,,,Intro,
"(2) We concluded that the true relationship is negative and linear, meaning that as the metabolic rate of a species decreases, the lifespan of the species appears to increase in a linear fashion",IntVar,,,Intro,
Exploratory Data Analysis,Title,,,Data,
Data,Title,,,Data,
"In this study, we will be analyzing metabolic rate divided by the body mass of the species in grams to assess the amount of energy used per unit of body mass, allowing us to accurately compared the lifespans of animals who are different sizes by removing the effect size might have on metabolic rate",DataDesc,MethDef,MethJust,Data,?
(1) This new measure of energy per unit of body mass will be reported in Watts per grams,DataDesc,,,Data,
Exploratory Analysis,Title,,,Data,
"Initially, we observed univariate distributions of metabolic rate (Watts), body mass (grams), lifespan (years), and the metabolic rate per body mass (Watts per grams) as these are going to be the key variables in our model",Struct,DataDesc,,Data,
"(1) As can be seen in figure 1, the metabolic rate for most species is roughly the same, with only a few outliers",DataStat,,,Data,
"Similarly, the body mass of the species appears to be roughly the same, as can be seen in figure 2",DataStat,,,Data,
"This means that the distribution of metabolic rate per unit body mass should also be roughly the same for most species, which can be seen in figure 3 with the right-skewed distribution with small intervals between each bar",DataStat,,,Data,
"Finally, the distribution of the untransformed response variable, maximum longevity or lifespan, can be seen in figure 4, where we notice that the variable lifespan has a distribution which is skewed slightly to the right",DataStat,,,Data,
"Next, we will assess any relationships between predictor variables and the response variable, longevity",Struct,,,Data,
"We can see in figure 5 that there seems to be a strong correlation of data in the bottom left of the graph, signifying that the lower the metabolic rate per unit body mass, the shorter the lifespan",DataStat,,,Data,
"(4) However, there are many outliers that make assessing this plot extremely difficult, and as the data is extremely clustered, suggesting perhaps a logarithmic or exponential transformation of both variables may provide a better, more understandable relationship, as right now it is impossible to tell the distribution of the true relationship (we cannot tell if it is linear)",MethJust,MethDef,DataStat,Data,?
"(4) Similarly, in figures 6 and 7 we can see that there is an extremely skewed distribution between both metabolic rate and lifespan as well as body mass and lifespan, with almost seemingly no relationship between metabolic rate and lifespan or body mass and lifespan",MethJust,DataStat,,Data,?
"As such, we performed an exponential transformation on the metabolic rate per unit body mass and the lifespan variables to try to better ascertain any underlying relationships",MethDef,MethJust,,Data,?
"After both transformations, there seems to be a moderately strong, negative, linear correlation between metabolic rate per unit body mass and lifespan of a species, as can be seen in figure 8",DataStat,MethJust,,Data,?
"(4) It is worth noting that during preliminary analysis, assessing the inverse of lifespan versus logarithmic-transformed metabolic rate per unit body mass seems to reveal a possible nonlinear relationship between the two variables (shown in figure 9), and during this report this possibility will be tested using nonparametric modeling to check if a nonlinear fit is more appropriate",DataStat,MethJust,Struct,Data,?
"(5) However, as the square root of both lifespan and metabolic rate per unit body mass do show a moderate, negative linear relationship, the exploratory data analysis suggests that the true underlying relationship may support the initial research that metabolic rate and lifespan are negatively correlated (a lower metabolic rate leads to a longer lifespan)",DataStat,,,Data,?
Modeling & Diagnostics,Title,,,RS,
"In order to determine the most accurate regression model for the data, we will begin by constructing a simple linear model which predicts the square root of the lifespan of a species from the square root of their metabolic rate per unit body mass to try to model the relationship between the two variables",MethDef,,,RS,
"(1) Next, we wish to assess if a linear model is truly the correct fit, and as such we will employ smoothing splines to create a more flexible model",MethDef,,,RS,
"(2) As can be seen in table 1, the estimated predicted mean squared error (MSE) of the linear model is the lowest at 0.103, whereas the estimated predicted MSE's of the splines corresponding to 3, 4, 5, 6, and 7 degrees of freedom are 1.287, 1.282, 1.294, 0.114, 0.109 respectively",MethJust,,,RS,
"Additionally, the estimated standard error for the linear model is approximately 0.0008, which is much lower than the standard errors of all the spline models (as is seen in table 1)",MethJust,,,RS,
"As such, the linear model is the best model for estimating the relationship between metabolic rate per unit body mass and lifespan of a species",MethDef,,,RS,
(3) We will next show diagnostic plots for this model to determine if it is a good fit,Struct,,,RS,
