sentence,tag1,tag2,tag3,section,notes
Introduction,Title,,,Intro,
"In the 21st century, it fair to say that with enough money you can buy you almost anything",Context,,,Intro,
"Truly luxeries, in the form of material goods and experiences, that many people only dream about and most people cant even really imagine",Context,,,Intro,
"However due to current scientific and technological limitations, there are certain things that even billions of dollar cant buy a person",Context,,,Intro,
"With one of those priceless things being immortality, or the ability to live forever",Context,,,Intro,
"In order to even approach the concept of eternal life, we have to begin by asking ourselves what factors even effect lifespan",RQDef,RQSig,,Intro,
"Biological researchers around the world have devoted countless hours to better understanding what factors effect lifespan, and furthur how we can influence those factors to slow the aging process and prolong life",Context,RQSig,,Intro,
"Figuring out what relationship there is, if any, between these factors and lifespan is a critical step in the process of getting closer to solving the issue of immortality",RQDef,RQSig,,Intro,
"We will be using the AnAge Database of Animal Aging and Longevity, which is a database of aging and life history in animals that was mainly developed for comparative biological studies",DataDesc,,,Intro,
"This database contains information from hundreds of scientific papers, for more than 4200 species",DataDesc,,,Intro,
"The database includes variables such as lifespan, age of sexual maturity, adult body mass, metabolic rate, and typical body temperature (2)",DataDesc,,,Intro,
"We have been hired by eccentric billionaire, Preston Jorgensen, to analyze the database to figure out what factors, if any, have a relationship with lifespan",RQDef,RQSig,,Intro,???
This is so that reserach can be effectively funded to figure out how to influence these factors to extend lifespan,RQSig,,,Intro,
"Preston Jorgensen is specifically interested in: 1) Knowing if slowing the metabolic rate can increase lifespan, 2) Finding out what kind of relationship there is between metabolic rate and lifespan, and 3) Figuring out what the effect of reducing the metabolic rate of the crab-eating raccoon by 50% would be on the animal's lifespan (1)",RQDef,,,Intro,
"From our analysis of the database, we are able to find that there is a generally negative non linear relationship between maximum lifespan and metabolic rate",ResDesc,,,Intro,
This however doesnt guarantee that lowering the metabolic rate of an animal species will directly correlate to that species have higher lifespan due to the variety of other factors that play a role in an animal species lifespan that isnt taken into consideration in our dataset,IntImp,LimAna,,Intro,???
This is the case even though our model estimated the lifespan of a crab eating raccoon to be higher (increase from 19 to 20.1) if its metabolic rate was cut in half (3),ResDesc,,,Intro,
Exploratory Data Analysis,Title,,,Data,
"As we are beginning our data analysis, it is important to analyze the dataset and variables contained within before creating any type of model",Struct,,,Data,
The AnAge Database of Animal Aging and Longevity contains a vareity of continuous variables along with several identifying variables,DataDesc,,,Data,
"The continuous variables in our dataset are: life span in years (represented by Maximum.longevity.yrs), body mass in grams (represented by Body.mass.g), metabolic rate in watts (represented by Metabolic.rate), temperature in Kelvin (represented by Temperature)",DataDesc,,,Data,
