sentence,tag1,tag2,tag3,section,notes
1 Introduction,Title,,,Intro,
The quest for the elixer of immortality has been pursued by alchemists and scientists across many ages and cultures,Context,,,Intro,
"However, with new medical discoveries being made each year, the promise of uncovering the key to a dramatically enhanced lifespan draws closer and closer",Context,,,Intro,
"The objective of this study is to determine what, if any, factors that appear to be related to longevity and have the potential to increase human lifespan",RQDef,,,Intro,
We do this by analyzing the factors that influence longevity in other animal species (1),RQDef,,,Intro,
"We examine species taken from the AnAge Database of Animal Ageing and Longevity, which contains information from a species' taxonomy to longevity, body temperature, and metabolism",DataDesc,,,Intro,
There are 347 different species and 14 features within our dataset (2),DataDesc,,,Intro,
We find that there is a negative and nonlinear relationship between lifespan and metabolic rate,ResDesc,,,Intro,IntVar?
"From our analysis of the Crab-Eating Raccoon, our model predicts that halving the metabolic rate is correlated with an increase in the lifespan of the animal (3)",ResDesc,,,Intro,IntVar?
The findings from our analysis indicate that future research should be conducted along this avenue,FuWork,,,Intro,
2 Exploratory Data Analysis,Title,,,Data,
2.1 Dataset,Title,,,Data,
"The AnAge Database of Animal Ageing and Longevity is a ""a curated database of ageing and life history in animals""",DataDesc,,,Data,
The dataset that we are using is a subset of the more than 4000 species contained within the database,DataDesc,,,Data,
Our dataset contains 347 observations and 14 variables,DataDesc,,,Data,
Each of these observations represent a different animal species,DataDesc,,,Data,
"The 14 features represent different aspects of the species such as its HAGRID (unique ID), scientific classification, Longevity, Metabolic rate, and more",DataDesc,,,Data,
The dataset includes each animal's taxonomic classification from Kingdom to Species,DataDesc,,,Data,
Relevant features are included below: `Maximum.longevity.yrs` : Represents the maximum longevity (lifespan) in years,DataDesc,,,Data,
`Body.mass.g` : The typical adult body mass in grams,DataDesc,,,Data,
`Metabolic.rate` : The typical resting metabolic rate in Watts,DataDesc,,,Data,
`Temperature` : The typical body temperature in Kelvin,DataDesc,,,Data,
2.2 Data Exploration,Title,,,Data,
