sentence,tag1,tag2,tag3,section,notes
Introduction,Title,,,Intro,
Money can buy almost anything in this world,Context,,,Intro,
"However, no amount of money as of yet has been able to overcome mortality",Context,,,Intro,
"To crack the mystery of immortality, we have been tasked by the billionaire, Preston Jorgensen, to research the necessary factors necessary to attain immortality",RQDef,RQSig,,Intro,?
"Specifically, Jorgensen tasked to us to determine whether slowing the metabolic rate increases lifespan and whether this relationship between metabolic rate and lifespan is non-linear",RQDef,,,Intro,
Jorgensen also noted that he wants the crab-eating raccoon as a pet to keep him company during his potentially immortal life,RQDef,RQSig,,Intro,?
"That being, he also tasked us with determining the average lifespan of an animal with the crab-eating raccoon's characteristics but with a 50% smaller metabolic rate given that Jorgensen would fund research to reduce the pet's metabolic rate by 50% (1)",RQDef,,,Intro,
"To help answer these questions, we are using a subset of the AnAge Database of Animal Ageing and Longevity",DataDesc,,,Intro,
The database we are using contains information on the ageing and life history of 347 species of animals collected across hundreds of scientific papers,DataDesc,,,Intro,
"Specifically, this dataset contains information on species' lifespan (years), body mass (grams), metabolic rate (watts), body temperature (kelvin), and several taxonomic classifications (i.e., kingdom, class, order, genus, phylum, species) (2)",DataDesc,,,Intro,
We will be analyzing this data to ultimately build a statistical model to examine the relationship between the lifespan and metabolic rate of animals,RQDef,,,Intro,
"After evaluating several models and variable characteristics, our research led us to the conclusion that a slower metabolic rate does have a significant impact in increasing lifespans",IntVar,,,Intro,
"We found that this relationship is after using log transformations on lifespan and metabolic rate, their relationship is approximately linear",ResDesc,MethDef,,Intro,?
We also found that a 50% reduction in the metabolic rate for the crab-eating raccoon would yield an average lifespan between 18.6 and 23 years (3),ResDesc,,,Intro,
Exploratory Data Analysis,Title,,,Data,
The key variables we will be exploring will be lifespan and metabolic rates across the 347 species in the subset of the AnAge Database,DataDesc,,,Data,
"For our analysis, we defined metabolic rate as the amount of energy used per body mass (watts/grams), rather than solely the amount of energy used, to allow for comparisons across different animals of different sizes",DataDesc,,,Data,Transformation involved?
"That being, metabolic rate is our key covariate used to predict our response variable, lifespan (1)",DataDesc,,,Data,
"Before we build our models, we must explore the shape and distribution of each variable indivdualy",Struct,,,Data,?
We will start by exploring our response variable,Struct,,,Data,
"In figure 1, we can see a histogram and boxplot for the lifespan of animals",Struct,,,Data,
The histogram visualizes the distribution of this variable as being skewed right without a normal distribution while the boxplot clearly shows 7 outliers comprised of animals with large lifespans ranging from about 45 to nearly 125 years (3),DataStat,,,Data,
"As for metabolic rate, figure 2 displays the histogram and boxplot that visualizes its distribution",Struct,,,Data,
The histogram visualizes the shape of the distribution as also being skewed right without a normal distribution while the boxplot displays there are over 10 outliers with relatively high metabolic rates,DataStat,,,Data,
"It's important to note that although the histogram visualization may suggest that there are animals with metabolic rates of zero, the lowest metabolic rate in this dataset is 0.04 watts/grams (2)",DataStat,,,Data,?
Next we will explore the relationships between animals' lifespans and their metabolic rates to better understand how to fit the models,Struct,,,Data,
Figure 3 depicts scatterplots of the lifespan and metabolic rate variables with different combinations of log transformations with a linear regression smoother,Struct,,,Data,Meth?
We decided to use log transformations because of the skewness in their shape along with the fact that neither of the variables had zero values in their range,MethDef,MethJust,,Data,
The first plot in this figure visualizes the relationship between the two variables without any transformations,Struct,,,Data,
"Looking at this scatterplot, we can see that their relationship is inverse but it is certainly not linear",DataStat,,,Data,
