sentence,tag1,tag2,tag3,section,notes
Introduction,Title,,,Intro,
The idea of immortality is something that has long been captivating idea for humans,Context,RQSig,,Intro,RQSig?
"The ability to live forever means no longer having to fear death, you can see loved ones forever and see how the world changes from decade to decade and millenium to millenium",Context,,,Intro,RQSig?
(1) While we are far away from ultimately answering immortality we can answer three following questions about factors relating to lifespan,Context,,,Intro,RQSig?
"The first being whether slowing the metabolic rate —for example, by intermittent fasting— leads to longer lifespan",RQDef,,,Intro,
We also want to find out if the relationship between lifespan and metabolic rate is linear or nonlinear,RQDef,,,Intro,
"Lastly, using our model on metabolic rate and lifespan we want to be able to estimate what the mean lifespan of animal with characteristics of crab-eating racoon with a 50% smaller metabolic rate than normal",RQDef,,,Intro,
(2) We plan to use the Age Database of Animal Aging and Longevity,DataDesc,,,Intro,
"This dataset contains variables such as metabolic rate, lifespan/longevity , body mass and more for over 300 animals",DataDesc,,,Intro,
Exploratory Data Analysis,Title,,,Data,
The dataset we will be using is the Age Database of Animal Aging and Longevity,DataDesc,,,Data,
"The Age Database of Animal Aging and Longevity is a curated database of ageing and life history in animals, including extensive longevity records",DataDesc,,,Data,
"(1) There are several variables in the dataset including longevity, meatabolic rate, body mass",DataDesc,,,Data,
"From this dataset we define two key variables, lifespan and `metabolic.by.mass`",DataDesc,,,Data,
"`metabolic.by.mass`, which we will refer to as metabolic rate, is the metabolic rate divided by body mass, which gives us the amount of energy used per unit of body mass",DataDesc,,,Data,
(2)We will start by looking at each variable individually,Struct,,,Data,
"In Figure 1, we see the histograms for both lifespan and metabolic rate",Struct,,,Data,
Both varibles appear to be heavily right skewed,DataStat,MethJust,,Data,
This raises the idea that perhaps transformations should be used,MethJust,,,Data,
"Boxplots were made for metabolic rate and lifespan (figure not shown), which both indicated outliers",DataStat,MethJust,,Data,
"We also looked at normality plots for metabolic rate and lifespan (figure not shown), which both showed clear devation from normality",DataStat,MethJust,,Data,
Thus this solidifies the idea that we should use transformations,MethJust,,,Data,
"(3) and some of (4) Due to the right skewness of both histogram distributions pre-transformation, we perform a square root transformation on metabolic rate, the explanatory variable, and a log transformation on lifespan, the response variable to rectify the skews",MethDef,MethJust,,Data,
"In Figure 2, we see the updated histogram for log(lifespan) shows a fairly normal distribution and the updated histroram for log(metabolic rate) shows a fairly normal distribution and a small left-skew",MethJust,,,Data,
"The normality plots and the boxplots (not shown) show us fewer outliers and better alignment, so the transformations were successful",MethJust,,,Data,
"From here on we use the the transformed variables, log(metabolic rate) and log(lifespan)",MethDef,,,Data,
"(4) Next, we explored how the variables were related to each other in order to get a better idea of how to fit models to the data",Struct,,,Data,?
"Below in Figure 3, we see a scatterplot of the two variables",Struct,,,Data,
(5) Figure 3 has the scatter plot that shows us the relationship between log metabolic rate and log lifepsan,Struct,,,Data,
We also calculate the correlation between the variables,MethDef,,,Data,???
"(6) From Figure 3, we can see for the most part linear, negative relationship",DataStat,,,Data,
"As metabolic rate increases, lifespan decreases",DataStat,,,Data,
"This coincides with the rate of living theory which states postulates that the faster an organism's metabolism, the shorter its lifespan",IntVar,,,Data,
"At lower levels of metabolic rate, the trend is not as clear, for the most part lifespan is higher yet but the range of lifespans is higher than at higher levels of metabolic rate",DataStat,,,Data,?
Modeling & Diagnostics,Title,,,RS,
Modeling,Title,,,RS,
"With the exploratory data analysis done, we now fit models to the data to investigate patterns between lifespan and metabolic rate",Struct,,,RS,
(1) We start by examining a simple linear model: $$Lifespan = beta_0 + beta_1(Metabolic Rate)$$,MethDef,,,RS,
"(2) Then we create five more sophisticated, spline models with effective degrees of freedom values ranging from 3 to 7, inclusive",MethDef,,,RS,
"(3) In order to determine which of these models fits the data best, we do a standard 5-fold cross-validation test on each spline model and the linear model",MethDef,,,RS,
The errors for each of the spline models can be seen in Figure 4,Struct,,,RS,
We can see that the a df parameter equal to 5 has the minimum mean squared error of 0.3577763 and a standard error of 0.027661,MethJust,,,RS,
The linear model has a mean squared error of 0.3669902 and a standard error of 0.0047721,MethJust,,,,
So the best spline model has a slighly lower mean squared error and a slightly higher standard error than the linear model,MethJust,,,RS,
