sentence,tag1,tag2,tag3,section,notes
1 Introduction,Title,,,Intro,
Understanding the lifespan of animals is a fundamental question in all of biology,RQSig,,,Intro,
What determines how long an animal will live,RQDef,,,Intro,?
Why do some animals live more than others,RQDef,,,Intro,?
Are there specific characteristics of animals that make them able to live longer,RQDef,,,Intro,?
"Given a set of attributes for an animal, how accurately can we predict its lifespan",RQDef,,,Intro,?
(2) The AnAge Database of Animal Ageing and Longevity provides the dataset aimed at answering and discovering more insights related to these questions,DataDesc,,,Intro,
"Specifically, this source contains an entire database of the life history and aging of animals, providing for each species variables such as lifespan, age of sexual maturity, adult body mass, typical body temperature, and metabolic rate",DataDesc,,,Intro,
"(1) In this study, we are interested in determining whether a relationship exists between metabolic rate and lifespan, and if so, would a linear relationship or a nonlinear fit be the best to characterize the relationship",RQDef,,,Intro,
"Furthermore, we would like to use our proposed model to estimate the confidence interval for the mean lifespan of a raccoon experiencing a 50% decrease in metabolic rate",RQDef,,,Intro,
"(3) After an extensive study on various models and metrics, we have discovered that animals with lower metabolic rates do in fact have a longer lifespan on average, and that the relationship between metabolic rate and average lifespan is not linear",ResDesc,,,Intro,
"By transforming metabolic rate and average lifespan, though, we were able to see a linear relationship between them",MethDef,ResDesc,,Intro,
"In addition, using our proposed model, we can be 95% confident that the average lifespan of a crab-eating raccoon (_Procyon cancrivorus_, HAGRID = 1898) with a 50% smaller metabolic rate lies between 19.05 and 23.78 years",ResDesc,,,Intro,?
2 Exploratory Data Analysis,Title,,,Data,
2.1 Data,Title,,,Data,
"The data being used comes from the AnAge Database of Animal Ageing and Longevity, providing information compiled from hundreds of scientific papers for thousands of species",DataDesc,,,Data,
"The data contains information for 347 animals, specifically from the Chordata phylum, or animals that have a spinal cord",DataDesc,,,Data,
"Data collected for each animal included the Kingdom of the animal (taxonomic classification for a species), common name of the animal, maximum longevity in years (`Maximum.longevity.yrs`), body mass in grams (`Body.mass.g`), metabolic rate in Watts (`Metabolic.rate`), and typical body temperature in Kelvin (`Temperature`)",DataDesc,,,Data,
2.2 Exploration,Title,,,Data,
"We begin our exploration by analyzing the univariate distributions of each of the predictor variables, as well as the response variable (`Maximum.longevity.yrs`)",Struct,,,Data,
"(1) First, we create a new variable called `Metabolic.by.mass`, defined as our original `Metabolic.rate` divided by our original `Body.mass.g`, that we will use as our metabolic rate for the rest of the report",MethDef,,,Data,
