sentence,tag1,tag2,tag3,section,notes
Introduction,Title,,,Intro,
"Preston Jorgensen, a billionaire looking to become immortal, is interested in knowing what factors appear to be related to lifespan",Context,RQSig,,Intro,?
We are given data from the AnAge Database of Animal Ageing and Longevity,DataDesc,,,Intro,
"This curated database contains information for over 4,200 different species regarding their aging and life history (2)",DataDesc,,,Intro,
"Using this data, we will answer the following three questions",Struct,,,Intro,
The first being whether slowing the metabolic rate may increase lifespan,RQDef,,,Intro,
We also plan to answer whether the relationship between the metabolic rate and lifespan is nonlinear,RQDef,,,Intro,
"Lastly, using the model we construct, we will determine what the expected mean lifespan of an animal with the crab-eating raccoon’s characteristics, but with a 50% smaller metabolic rate (1)",RQDef,,,Intro,
"Our analysis led us to the conclusion that there is a negative relationship between metabolic rate and lifespan, meaning that a lower metabolic rate corresponds to a higher lifespan",IntVar,ResDesc,,Intro,
"Additionally, our model indicated that the relationship between metabolic rate and lifespan is nonlinear",ResDesc,,,Intro,
"Lastly, we predicted that the mean lifespan of an animal with the same characteristics as a crab-eating raccoon but with 50% lower metabolic rate is approximately 20.12 years (3)",ResDesc,,,Intro,
Exploratory Data Analysis,Title,,,Data,
"Using a portion of the AnAge Database of Animal Ageing and Longevity dataset, we will answer the questions being asked",DataDesc,,,Data,
We define 2 key variables,Struct,,,Data,
"The first is our response variable, which we will call Lifespan",DataDesc,,,Data,
"It is the maximum longevity of the species, in years",DataDesc,,,Data,
"Our explanatory variable we will call Metabolic.by.mass, which is the amount of energy used per unit of body mass (W/g)",DataDesc,,,Data,
"This variable was calculated by dividing the typical resting metabolic rate by the typical adult body mass, which were both values provided in the AnAge database (1)",MethDef,,,Data,
This will allow comparisons between animals of different sizes,MethJust,,,Data,
"The dataset included other variables such as the kingdom of the species and their typical body temperature, but we did not identify them as necessary explanatory or confounding variables for our analysis",DataDesc,,,Data,
We will start by looking at each variable individually,Struct,,,Data,
Metabolic.by.mass and Lifespan are the two key variables that will answer Jorgensen's question,DataDesc,,,Data,
"In Figure 1 below, we see a histogram of each",Struct,,,Data,
"Lifespan, our response variable, appears to be skewed to the right with the potential for outliers (3)",DataDesc,,,Data,
"A boxplot was made for Lifespan (figure not shown), which did indicate some outliers",DataStat,MethJust,Struct,Data,?
This raises the idea that perhaps a transformation should be used on this variable,MethDef,,,Data,
"Similarly, Metabolic.by.mass also seems to be skewed to the right, with potential for outliers",DataStat,MethJust,,Data,
A boxplot for Metabolic.rate (figure not shown) also indicates some outliers (2),DataStat,MethJust,,Data,
"Therefore, it is possible that a transformation on Metabolic.by.mass should also be used",MethDef,,,Data,
"Taking a look at the normality plots (figures not shown), both Lifespan and Metabolic.by.mass variables seem to have a lack of normality",DataStat,,,Data,
"Next, we explored how the variables were related to each other in order to get a better idea of how to fit models to the data",Struct,,,Data,
"Below in Figure 2, we see two scatterplots created with using explanatory and response variable (5)",Struct,,,Data,
"Looking at the first plot, using Lifespan and Metabolic.by.mass, we can see that there seems to be a somewhat negative relationship between Lifespan and Metabolic.by.mass",DataStat,,,Data,
"While this relationship seems slightly linear, some transformations on the variables may make the relationship appear more linear",MethJust,MethDef,,Data,?
This was also indicated in the univariate analysis of these two variables,Struct,,,Data,
"After applying a logarithmic transformation to both Lifespan and Metabolic.by.mass, the scatterplot between the log transformed variables becomes much more linear, as shown in the second scatterplot in Figure 2 below (4)",MethJust,MethDef,,Data,
"As a result, we will be using log(Lifespan) and log(Metabolic.by.mass) in the rest of our analysis",MethDef,,,Data,
There seems to be a negative linear relationship between log(Lifespan) and log(Metabolic.by.mass) (6),DataStat,,,Data,
This suggests that a higher log(Metabolic.by.mass) will be associated with a lower log(Lifespan),IntVar,,,Data,
Modeling & Diagnostics,Title,,,RS,
We first constructed a linear model to fit to the data (1),MethDef,,,RS,
"We also then fit five spline models, with the effective degrees of freedom for each spline model being 3, 4, 5, 6, or 7",MethDef,,,RS,
These models (shown below) were used to answer the questions that Jorgensen asked of us,Struct,,,RS,
"It is important to note that s() indicates the nonlinear spline smoothing function (with different effective degrees of freedom, from 3 to 7, for each spline model) (2)",MethDef,,,RS,
It was clear which variables to use in the models,Other,,,RS,???
The key variables that will answer Jorgensen's questions are Lifespan and Metabolic.by.mass,DataDesc,,,RS,
"However, as shown in the EDA, we log transformed both of these variables",MethDef,Struct,,RS,
"As a result, the variables that we use in the models are log(Lifespan) and log(Metabolic.by.mass)",DataDesc,,,RS,
"In order to determine which of the models fit best to the data, we performed 5-fold cross-validation and calculated the estimated mean squared error (MSE) and estimated standard error of the MSE",MethDef,,,RS,
The MSE and standard error estimated for each model after performing 5-fold cross-validation are shown below,Struct,,,RS,
"The first number represents the MSE estimates, and the second number represents the standard error estimates",Struct,,,RS,
It is clear that the spline models have much lower MSE estimates than the linear model,MethJust,,,RS,
We decided that the best model was the spline model with 5 effective degrees of freedom because it had the lowest MSE (3),MethDef,MethJust,,RS,
"However, based on the uncertainty in your estimates of the prediction error, the difference between models does not seem very significant (for the spline models only)",MethJust,,,RS,
"This is because not only did the spline models have very close prediction error estimates, they also had very close estimated standard errors (5)",MethJust,,,RS,
"Next, we look at the model diagnostics of our chosen model and how well it appears to fit",Struct,,,RS,
"Fitting the spline model to our log transformed variables (shown in Figure 4), it seems that that it mostly captures the trend of the data points",MethJust,,,RS,
"Because the assumptions for linear smoothers are the same as for simple linear regression, we will use the the same diagnostic plots that we would use for linear regression to check the assumptions",MethJust,MethDef,,RS,
"Below in Figure 3, we see residuals plots and a qq-plot of the residuals",Struct,,,RS,
"It appears that in the residuals plots, the residuals are centered around 0, so there does not seem to a violation of the linearity assumption",MethJust,,,RS,
