sentence,tag1,tag2,tag3,section,notes
Introduction,Title,,,Intro,
We are interested in discovering what biological factors may be related to lifespan,RQDef,,,Intro,
"Given the life history of approximately 350 animals, we will study the effect of metabolic rate on overall lifespan to determine the relationship between the two (if one exists)",RQDef,DataDesc,,Intro,
"Additionally, we will look more closely at a specific animal - the crab-eating raccoon - to analyze the effect on its lifespan if we were to reduce its metabolic rate by 50% (1)",RQDef,,,Intro,
Our data is a subset of the AnAge Database of Animal Ageing and Longevity,DataDesc,,,Intro,
"Although the AnAge database contains information on over 4,200 species, our collected dataset specifically contains 347 animals in the Chordata phylum",DataDesc,,,Intro,
"The data contains quantitative variables including maximum lifespan (in years), body mass (in grams), metabolic rate (in Watts), and body temperature (in Kelvin)",DataDesc,,,Intro,
"It also includes categorical variables including a unique ID for each animal (HAGRID), the common name, and the taxonomic classification",DataDesc,,,Intro,
None of the entries in our dataset have missing variables (2),DataDesc,,,Intro,
"Through extensive analysis, we determined that there exists a general negative relationship between lifespan and metabolic rate, where lower metabolic rates do generally correspond to longer lifespans",IntVar,,,Intro,
"Additionally, we found that reducing the crab-eating raccoon's metabolic rate by 50% resulted, with 95% confidence, in an expected lifespan of about 18.76 to 23.07 years",ResDesc,,,Intro,
"Comparatively, a crab-eating raccoon without the reduced metabolic rate would expect to have a lifespan of about 19 years",ResDesc,,,Intro,
This indicates we cannot say definitively that reducing the metabolic rate for this animal will result in an increase in lifespan (3),IntVar,,,Intro,?
Exploratory Data Analysis,Title,,,Data,
We will be working with two key variables,DataDesc,,,Data,
The first is our response variable: Lifespan,DataDesc,,,Data,
"We will be using the Maximum.longevity.yrs variable from the data, which is measured in years",DataDesc,,,Data,
We are also interested in using the metabolic rate of animals,DataDesc,,,Data,
"Due to varying body sizes, we divided the metabolic rate value (measured in Watts) provided in the dataset by the body mass (measured in grams) so that we are able to properly compare metabolic rates across all species",MethDef,MethJust,,Data,
"Henceforth, all references to Metabolic Rate will refer to this standardized quantity, which is measured in units of Watts/gram (1)",DataDesc,,,Data,?
We considered factoring in the taxonomic classification of the animals to see whether the relationship between metabolic rate and lifespan differed between species,MethJust,,,Data,?
"However, we found that the distribution of data in each taxonomic class was highly variable, which would prevent us from obtaining meaningful results",MethJust,,,Data,?
"Therefore, we chose to leave out this variable in our analysis",MethDef,,,Data,?
We began our analysis by plotting a histogram of Metabolic Rate to get an idea of its distribution (Figure 1 left),Struct,,,Data,
The resulting plot was very heavily skewed left with what appeared to be several outliers,DataStat,,,Data,
The corresponding boxplot (figure not shown) confirmed the presence of these outliers,DataStat,,,Data,
"After experimenting with a number of transformations to the data, we discovered that a log transformation provided us with a much more normal looking histogram (Figure 1 right)",MethDef,MethJust,,Data,
"A normality plot (figure not shown) confirmed that this transformation had resulted in a more normal distribution, although it was still not perfect (2)",MethJust,,,Data,
"We also plotted a histogram of our response variable, Lifespan (Figure 2)",Struct,,,Data,
"Similar to Metabolic Rate, the original plot was quite heavily skewed to the left (3)",DataStat,,,Data,
We again found that applying a log transformation to this data resulted in a more normal looking curve although the corresponding normality plot (figure not shown) indicated that it was still not quite as normal as we would like,MethDef,MethJust,,Data,
"However, the transformation improved the distribution significantly",MethJust,,,Data,
"Based on our analysis of the predictor and response variables, we chose to apply log transformations to both for the rest of the analysis",MethDef,,,Data,
"Henceforth, references to these variables will refer to their log-transformed values unless otherwise noted (4)",MethDef,,,Data,
