sentence,tag1,tag2,tag3,section,notes
Introduction,Title,,,Intro,
Prolonging mortality is a goal much of humanity has,Context,RQSig,,Intro,RQSig?
"Although immortality may be out of reach with present technologies, this has not stopped billionaire Preston Jorgensen's interest in finding ways to extend his life. He has tasked us with examaning pollutants that are most strongly associated with increased deaths in the hopes of reducing this pollutant or set of pollutants to further his lifespan",Context,RQSig,,Intro,
"Specifically, Jorgensen tasked us with finding evidence of whether pollutants are associated with increased deaths at all and, if so, identifying the pollutants that are most associated with increased deaths",RQDef,Context,,Intro,Context?
He also tasked us with finding out whether the effects of pollutants impact deaths immediately or if there is more of a lingering effect where pollutant level impact deaths over several days,RQDef,Context,,Intro,
"Lastly, Jorgensen was interested in the average death rate for a 70 degree day (farenheit) if pollutants were reduced to the lowest levels ever recorded",RQDef,Context,,Intro,
He wants to know whether the estimated impact of reducing pollution concentration on the average death rate is worth substantial investment in efforts to mitigate pollution levels,RQDef,Context,,Intro,
"(1) To help answer these questions, we are using a subset of air quality measurements in Chicago, Illinois from January 1987 to December 2000",DataDesc,,,Intro,
We filtered observations in this dataset to exclude days with missing data for any variables (including lagged variables),DataDesc,MethDef,,Intro,MethDef? (excluding data)
"Our subset of data contains 4,012 observations of air quality, temperature, and non-accidental death measurements in Chicago from 1987 to 2000",DataDesc,,,Intro,
Note that later on in our exploratory data analysis we decide to exclude a series of outliers from our data (1995 Chicago Heat Wave) resulting in a new total of 4007 observations for the remainder of the paper,DataDesc,MethDef,,Intro,MethDef?
"Specifically, the variables included in this dataset are the day of the obervation, the number of non-accidental deaths each day, the mean temperature (farenheit), the median concentration of ozone (parts per billion), median concentration of sulfur dioxide (parts per billion), and the median concentration of particulate matter with a diameter less than 10 micrometers (PM10, $mg/m^3$)",DataDesc,,,Intro,
This dataset also includes lagged versions of the pollution and temperature variables which are simply 7 day averages of each respective variable,DataDesc,,,Intro,
"(2) After evaluating several models and variable characteristics, our research led us to the conclusion that pollutants extended over time have a relationship with mortality",ResInf,,,Intro,ResDesc?
"Particularly, the PM10 and ozone concentration polluntants appear to be most associated with mortality",ResInf,,,Intro,ResDesc?
