sentence,tag1,tag2,tag3,section,notes
Introduction,Title,,,Intro,
The goal of this research is to inform Preston Jorgenson which pollutants are most strongly associated with mortality so he can make a decision to help extend his life (1),RQDef,RQSig,,Intro,
We will dive into three questions: Is there evidence that these pollutants are associated with increased mortality,RQDef,,,Intro,
Which pollutant seems to be most strongly associated with mortality,RQDef,,,Intro,
"Is the effect of pollution instantaneous (i.e., the amount of pollution on a certain day only affects death rate on that same day), or does it extend over time (i.e., it affects the death rate over the next few days)",RQDef,,,Intro,
"If the level of each pollutant were somehow lowered to match the lowest value ever recorded, what mean death rate would we estimate for Chicago on a 70-degree day",RQDef,,,Intro,
Should Jorgensen spend his enormous fortune to try to reduce pollution this much,RQDef,,,Intro,
"In order to answer these questions, we will use a dataset with 5,114 observations (2)",DataDesc,,,Intro,
"Each observation has 6 variables, explained below: time: The date of observation, given as the number of days before or after December 31, 1993 death: The number of non-accidental deaths on that date pm10median: The median density of PM$_{10}$pollution, i.e., particulate matter with diameter less than 10 micrometers (milligrams per cubic meter) lag_pm10median: 7 day average of the median density of PM$_{10}$pollution, i.e., particulate matter with diameter less than 10 micrometers (milligrams per cubic meter) o3median: The median concentration of ozone (parts per billion) lag_o3median: 7 day average of the median concentration of ozone (parts per billion) so2median: The median concentration of sulfur dioxide (SO2) lag_so2median: 7 day average of the median concentration of sulfur dioxide (SO2) tmpd: The mean temperature (Fahrenheit) lag_tmpd: 7 day average of the mean temperature (Fahrenheit) After the analysis of this data, we were not able to find a clear correlation between pollutants and mortality (3)",DataDesc,,,Intro,
"Throughout the report below, we did find significance between certain models but none of them allowed us to confidently conclude that the pollutants were significantly correlated with number of deaths",ResInf,IntVar,,Intro,??
We would highly recommend that Preston Jorgensen speak to his physician about the risks of pollution because all of the data is from the same city so it is not great for us to make assumptions about pollution and mortality,IntImp,LimData,,Intro,
We do not know if Preston Jorgensen has lung or health issues and that was not addressed in the analysis as well,IntImp,,,Intro,?
"Preston Jorgensen should ask us to analyze a different data set, speak to an expert, or do research into other methods to expand his longevity",IntImp,,,Intro,?
Exploratory Data Analysis,Title,,,Data,
"The key variables we will use to answer the research questions are death, pm10median, lag_pm10median, o3median, lag_o3median, so2median, lag_so2median, tmpd, and lag_tmpd",DataDesc,,,Data,
"A more in-depth description of each of these variables, and their units, is in the introduction section of this write-up (1)",Struct,,,Data,
"When we look at the histograms, in Figure 1, almost all of them appear to be unimodal and skewed to the left",DataStat,,,Data,
"The variables tmpd and lag_tmpd ares somewhat bimodal and skewed to the right, and the lag variable for ozone is slightly bimodal",DataStat,,,Data,
"In Figure 2, we do not see an very obvious relations besides the variables with their lag counterpart, which we would expect",DataStat,,,Data,
We will need to do further analysis,Struct,,,Data,?
"Now, let's talk about the summary of these key variables",Struct,,,Data,
"Death has a minimum of 69, maximum of 411, median of 114, mean of 115.4189, and standard deviation of 15.2988",DataStat,,,Data,
